Moldova,MDA,Europe & Central Asia,Moldova,Europe et Asie centrale
Madagascar,MDG,Sub-Saharan Africa,Madagascar,Afrique subsaharienne
Maldives,MDV,South Asia,Maldives,Asie du Sud
Middle East & North Africa (all income levels),MEA,,Afrique du Nord et Moyen-Orient (tous niveaux de revenu),
Mexico,MEX,Latin America & Caribbean,Mexique,Amérique latine et Caraïbes
Marshall Islands,MHL,East Asia & Pacific,Îles Marshall,Asie de l’Est et Pacifique
Middle income,MIC,,Revenu intermédiaire,
"Macedonia, FYR",MKD,Europe & Central Asia,"Macédoine, ex-République yougoslave de",Europe et Asie centrale
Mali,MLI,Sub-Saharan Africa,Mali,Afrique subsaharienne
Malta,MLT,Middle East & North Africa,Malte,
Myanmar,MMR,East Asia & Pacific,Myanmar,Asie de l’Est et Pacifique
Middle East & North Africa,MNA,,Moyen-Orient et Afrique du Nord,
Montenegro,MNE,Europe & Central Asia,Monténégro,Europe et Asie centrale
Mongolia,MNG,East Asia & Pacific,Mongolie,Asie de l’Est et Pacifique
Northern Mariana Islands,MNP,East Asia & Pacific,Mariannes,
Mozambique,MOZ,Sub-Saharan Africa,Mozambique,Afrique subsaharienne
Mauritania,MRT,Sub-Saharan Africa,Mauritanie,Afrique subsaharienne
Mauritius,MUS,Sub-Saharan Africa,Maurice,Afrique subsaharienne
Malawi,MWI,Sub-Saharan Africa,Malawi,Afrique subsaharienne
Malaysia,MYS,East Asia & Pacific,Malaisie,Asie de l’Est et Pacifique
North America,NAC,,Amérique du Nord,
Namibia,NAM,Sub-Saharan Africa,Namibie,Afrique subsaharienne
New Caledonia,NCL,East Asia & Pacific,Nouvelle-Calédonie,
Niger,NER,Sub-Saharan Africa,Niger,Afrique subsaharienne
Nigeria,NGA,Sub-Saharan Africa,Nigéria,Afrique subsaharienne
Nicaragua,NIC,Latin America & Caribbean,Nicaragua,Amérique latine et Caraïbes
Netherlands,NLD,Europe & Central Asia,Pays-Bas,
High income: nonOECD,NOC,,Revenu élevé : non OCDE,
Norway,NOR,Europe & Central Asia,Norvège,
Nepal,NPL,South Asia,Népal,Asie du Sud
New Zealand,NZL,East Asia & Pacific,Nouvelle-Zélande,
High income: OECD,OEC,,Revenu élevé : OCDE,
OECD members,OED,,Pays membres de l'OCDE,
Oman,OMN,Middle East & North Africa,Oman,
Other small states,OSS,,Autres petits états,
Pakistan,PAK,South Asia,Pakistan,Asie du Sud
Panama,PAN,Latin America & Caribbean,Panama,Amérique latine et Caraïbes
Peru,PER,Latin America & Caribbean,Pérou,Amérique latine et Caraïbes
Philippines,PHL,East Asia & Pacific,Philippines,Asie de l’Est et Pacifique
Palau,PLW,East Asia & Pacific,Palaos,Asie de l’Est et Pacifique
Papua New Guinea,PNG,East Asia & Pacific,Papouasie-Nouvelle-Guinée,Asie de l’Est et Pacifique
Poland,POL,Europe & Central Asia,Pologne,
Puerto Rico,PRI,Latin America & Caribbean,Porto Rico,
"Korea, Dem. Rep.",PRK,East Asia & Pacific,"Corée, République démocratique de",Asie de l’Est et Pacifique
Portugal,PRT,Europe & Central Asia,Portugal,
Paraguay,PRY,Latin America & Caribbean,Paraguay,Amérique latine et Caraïbes
West Bank and Gaza,PSE,Middle East & North Africa,Cisjordanie et Gaza,Moyen-Orient et Afrique du Nord
Pacific island small states,PSS,,Petits états insulaires du Pacifique,
French Polynesia,PYF,East Asia & Pacific,Polynésie française,
Qatar,QAT,Middle East & North Africa,Qatar,
Romania,ROU,Europe & Central Asia,Roumanie,Europe et Asie centrale
Russian Federation,RUS,Europe & Central Asia,Fédération de Russie,
Rwanda,RWA,Sub-Saharan Africa,Rwanda,Afrique subsaharienne
South Asia,SAS,,Asie du Sud,
Saudi Arabia,SAU,Middle East & North Africa,Arabie saoudite,
Sudan,SDN,Sub-Saharan Africa,Soudan,Afrique subsaharienne
Senegal,SEN,Sub-Saharan Africa,Sénégal,Afrique subsaharienne
Singapore,SGP,East Asia & Pacific,Singapour,
Solomon Islands,SLB,East Asia & Pacific,Îles Salomon,Asie de l’Est et Pacifique
Sierra Leone,SLE,Sub-Saharan Africa,Sierra Leone,Afrique subsaharienne
El Salvador,SLV,Latin America & Caribbean,El Salvador,Amérique latine et Caraïbes
San Marino,SMR,Europe & Central Asia,Saint-Marin,
Somalia,SOM,Sub-Saharan Africa,Somalie,Afrique subsaharienne
Serbia,SRB,Europe & Central Asia,Serbie,Europe et Asie centrale
Sub-Saharan Africa,SSA,,Afrique subsaharienne,
South Sudan,SSD,Sub-Saharan Africa,Soudan du Sud,Afrique subsaharienne
Sub-Saharan Africa (all income levels),SSF,,Afrique subsaharienne (tous niveaux de revenu),
Small states,SST,,Petits états,
São Tomé and Principe,STP,Sub-Saharan Africa,Sao Tomé-et-Principe,Afrique subsaharienne
Suriname,SUR,Latin America & Caribbean,Suriname,Amérique latine et Caraïbes
Slovak Republic,SVK,Europe & Central Asia,République slovaque,
Slovenia,SVN,Europe & Central Asia,Slovénie,
Sweden,SWE,Europe & Central Asia,Suède,
Swaziland,SWZ,Sub-Saharan Africa,Swaziland,Afrique subsaharienne
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,Sint Maarten (Dutch part),
Seychelles,SYC,Sub-Saharan Africa,Seychelles,
Syrian Arab Republic,SYR,Middle East & North Africa,République arabe syrienne,Moyen-Orient et Afrique du Nord
Turks and Caicos Islands,TCA,Latin America & Caribbean,Îles Turques-et-Caïques,
Chad,TCD,Sub-Saharan Africa,Tchad,Afrique subsaharienne
Togo,TGO,Sub-Saharan Africa,Togo,Afrique subsaharienne
Thailand,THA,East Asia & Pacific,Thaïlande,Asie de l’Est et Pacifique
Tajikistan,TJK,Europe & Central Asia,Tadjikistan,Europe et Asie centrale
Turkmenistan,TKM,Europe & Central Asia,Turkménistan,Europe et Asie centrale
Timor-Leste,TLS,East Asia & Pacific,Timor-Leste,Asie de l’Est et Pacifique
Tonga,TON,East Asia & Pacific,Tonga,Asie de l’Est et Pacifique
Trinidad and Tobago,TTO,Latin America & Caribbean,Trinité-et-Tobago,
Tunisia,TUN,Middle East & North Africa,Tunisie,Moyen-Orient et Afrique du Nord
Turkey,TUR,Europe & Central Asia,Turquie,Europe et Asie centrale
Tuvalu,TUV,East Asia & Pacific,Tuvalu,Asie de l’Est et Pacifique
Tanzania,TZA,Sub-Saharan Africa,Tanzanie,Afrique subsaharienne
Uganda,UGA,Sub-Saharan Africa,Ouganda,Afrique subsaharienne
Ukraine,UKR,Europe & Central Asia,Ukraine,Europe et Asie centrale
Upper middle income,UMC,,"Revenu intermédiaire, tranche supérieure",
Uruguay,URY,Latin America & Caribbean,Uruguay,
United States,USA,North America,États-Unis,
Uzbekistan,UZB,Europe & Central Asia,Ouzbékistan,Europe et Asie centrale
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Saint-Vincent-et-les Grenadines,Amérique latine et Caraïbes
"Venezuela, RB",VEN,Latin America & Caribbean,Venezuela,
Virgin Islands (U.S.),VIR,Latin America & Caribbean,Îles Vierges (EU),
Vietnam,VNM,East Asia & Pacific,Viet Nam,Asie de l’Est et Pacifique
Vanuatu,VUT,East Asia & Pacific,Vanuatu,Asie de l’Est et Pacifique
World,WLD,,Monde,
Samoa,WSM,East Asia & Pacific,Samoa,Asie de l’Est et Pacifique
"Yemen, Rep.",YEM,Middle East & North Africa,"Yémen, Rép. du",Moyen-Orient et Afrique du Nord
South Africa,ZAF,Sub-Saharan Africa,Afrique du Sud,Afrique subsaharienne
Zambia,ZMB,Sub-Saharan Africa,Zambie,Afrique subsaharienne
Zimbabwe,ZWE,Sub-Saharan Africa,Zimbabwe,Afrique subsaharienne
